,tracker,work_start_date,work_start_hour,work_finish_date,work_finish_hour,duration,duration_seconds,ay,hafta,gün,hafta_günü,çeyrek,gün_saati
144,DD_234,2022-01-27,1900-01-01 00:00:00,2022-01-27,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,27,4,1,0
145,DD_126,2022-01-28,1900-01-01 00:01:00,2022-01-28,1900-01-01 23:54:00,0 days 23:53:00,85980.0,1,4,28,5,1,0
146,DD_234,2022-01-28,1900-01-01 00:03:00,2022-01-28,1900-01-01 23:59:00,0 days 23:56:00,86160.0,1,4,28,5,1,0
147,DD_185,2022-01-28,1900-01-01 00:00:00,2022-01-28,1900-01-01 23:42:00,0 days 23:42:00,85320.0,1,4,28,5,1,0
148,HD_024,2022-01-28,1900-01-01 00:01:00,2022-01-28,1900-01-01 23:59:00,0 days 23:58:00,86280.0,1,4,28,5,1,0
149,HD_023,2022-01-28,1900-01-01 00:00:00,2022-01-28,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,28,5,1,0
150,HD_022,2022-01-28,1900-01-01 00:12:00,2022-01-28,1900-01-01 23:56:00,0 days 23:44:00,85440.0,1,4,28,5,1,0
151,HD_023,2022-01-29,1900-01-01 00:00:00,2022-01-29,1900-01-01 23:51:00,0 days 23:51:00,85860.0,1,4,29,6,1,0
152,DD_234,2022-01-29,1900-01-01 00:00:00,2022-01-29,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,4,29,6,1,0
153,DD_185,2022-01-29,1900-01-01 00:15:00,2022-01-29,1900-01-01 23:46:00,0 days 23:31:00,84660.0,1,4,29,6,1,0
154,DD_126,2022-01-29,1900-01-01 00:03:00,2022-01-29,1900-01-01 23:59:00,0 days 23:56:00,86160.0,1,4,29,6,1,0
155,HD_024,2022-01-29,1900-01-01 00:01:00,2022-01-29,1900-01-01 23:54:00,0 days 23:53:00,85980.0,1,4,29,6,1,0
156,HD_022,2022-01-29,1900-01-01 00:01:00,2022-01-29,1900-01-01 23:53:00,0 days 23:52:00,85920.0,1,4,29,6,1,0
157,HD_022,2022-01-30,1900-01-01 00:11:00,2022-01-30,1900-01-01 23:59:00,0 days 23:48:00,85680.0,1,5,30,0,1,0
158,HD_024,2022-01-30,1900-01-01 00:00:00,2022-01-30,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,5,30,0,1,0
159,HD_023,2022-01-30,1900-01-01 00:16:00,2022-01-30,1900-01-01 23:59:00,0 days 23:43:00,85380.0,1,5,30,0,1,0
160,DD_234,2022-01-30,1900-01-01 00:00:00,2022-01-30,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,5,30,0,1,0
161,DD_126,2022-01-30,1900-01-01 00:00:00,2022-01-30,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,5,30,0,1,0
162,DD_185,2022-01-30,1900-01-01 00:15:00,2022-01-30,1900-01-01 23:43:00,0 days 23:28:00,84480.0,1,5,30,0,1,0
163,HD_024,2022-01-31,1900-01-01 00:00:00,2022-01-31,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,5,31,1,1,0
164,DD_126,2022-01-31,1900-01-01 00:00:00,2022-01-31,1900-01-01 23:59:00,0 days 23:59:00,86340.0,1,5,31,1,1,0
165,HD_022,2022-01-31,1900-01-01 00:00:00,2022-01-31,1900-01-01 23:58:00,0 days 23:58:00,86280.0,1,5,31,1,1,0
166,HD_023,2022-01-31,1900-01-01 00:00:00,2022-01-31,1900-01-01 23:48:00,0 days 23:48:00,85680.0,1,5,31,1,1,0
167,DD_234,2022-01-31,1900-01-01 00:00:00,2022-01-31,1900-01-01 23:56:00,0 days 23:56:00,86160.0,1,5,31,1,1,0
168,DD_185,2022-01-31,1900-01-01 00:15:00,2022-01-31,1900-01-01 23:51:00,0 days 23:36:00,84960.0,1,5,31,1,1,0
169,HD_024,2022-02-01,1900-01-01 00:00:00,2022-02-01,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,32,2,1,0
170,DD_185,2022-02-01,1900-01-01 00:17:00,2022-02-01,1900-01-01 23:47:00,0 days 23:30:00,84600.0,2,5,32,2,1,0
171,HD_022,2022-02-01,1900-01-01 00:00:00,2022-02-01,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,32,2,1,0
172,DD_126,2022-02-01,1900-01-01 00:00:00,2022-02-01,1900-01-01 15:14:00,0 days 15:14:00,54840.0,2,5,32,2,1,0
173,DD_234,2022-02-01,1900-01-01 00:21:00,2022-02-01,1900-01-01 23:59:00,0 days 23:38:00,85080.0,2,5,32,2,1,0
174,HD_023,2022-02-01,1900-01-01 00:03:00,2022-02-01,1900-01-01 23:55:00,0 days 23:52:00,85920.0,2,5,32,2,1,0
175,HD_023,2022-02-02,1900-01-01 00:01:00,2022-02-02,1900-01-01 23:23:00,0 days 23:22:00,84120.0,2,5,33,3,1,0
176,DD_234,2022-02-02,1900-01-01 00:00:00,2022-02-02,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,33,3,1,0
177,HD_022,2022-02-02,1900-01-01 00:00:00,2022-02-02,1900-01-01 23:58:00,0 days 23:58:00,86280.0,2,5,33,3,1,0
178,DD_185,2022-02-02,1900-01-01 00:16:00,2022-02-02,1900-01-01 23:59:00,0 days 23:43:00,85380.0,2,5,33,3,1,0
179,HD_024,2022-02-02,1900-01-01 00:00:00,2022-02-02,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,33,3,1,0
180,DD_126,2022-02-02,1900-01-01 04:12:00,2022-02-02,1900-01-01 23:54:00,0 days 19:42:00,70920.0,2,5,33,3,1,4
181,DD_126,2022-02-03,1900-01-01 00:15:00,2022-02-03,1900-01-01 23:59:00,0 days 23:44:00,85440.0,2,5,34,4,1,0
182,DD_234,2022-02-03,1900-01-01 00:00:00,2022-02-03,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,34,4,1,0
183,HD_022,2022-02-03,1900-01-01 00:00:00,2022-02-03,1900-01-01 23:59:00,0 days 23:59:00,86340.0,2,5,34,4,1,0
